Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,
09-Sep-21,505827,237.4,235.65,0.0074,0.0402,0.0401,0.7661,4.01,76.61
09-Sep-21,505840,8.5,8.72,-0.0256,0.038,0.0379,0.7241,3.79,72.41
09-Sep-21,505850,60.2,60.3,-0.0017,0.0202,0.0201,0.384,2.01,38.4
09-Sep-21,505872,899.8,878.8,0.0236,0.0301,0.0301,0.5751,3.01,57.51
09-Sep-21,505893,286.9,301.9,-0.051,0.0295,0.0296,0.5655,2.96,56.55
09-Sep-21,505978,1348.95,1307.7,0.0311,0.0301,0.0301,0.5751,3.01,57.51
09-Sep-21,506003,5.59,6,-0.0708,0.1502,0.1499,2.8638,14.99,286.38
09-Sep-21,506105,89.9,87.05,0.0322,0.029,0.0291,0.556,2.91,55.6
09-Sep-21,506122,61.5,64.5,-0.0476,0.0383,0.0384,0.7336,3.84,73.36
09-Sep-21,506128,25,25.25,-0.01,0.0414,0.0413,0.789,4.13,78.9
09-Sep-21,506134,5.32,5.32,0,0.0184,0.0183,0.3496,1.83,34.96
09-Sep-21,506161,3.19,3.19,0,0,0,0,0,0
09-Sep-21,506166,18.4,18.4,0,0.0007,0.0007,0.0134,0.07,1.34
09-Sep-21,506178,10.5,10.5,0,0,0,0,0,0
09-Sep-21,506180,139.65,139.65,0,0.0059,0.0058,0.1108,0.58,11.08
09-Sep-21,506186,16.7,17.45,-0.0439,0.0439,0.0439,0.8387,4.39,83.87
09-Sep-21,506190,50,50,0,0,0,0,0,0
09-Sep-21,506196,4,4,0,0,0,0,0,0
09-Sep-21,506248,123.55,127.75,-0.0334,0.0405,0.0405,0.7738,4.05,77.38
09-Sep-21,506260,115.95,116.75,-0.0069,0.0428,0.0427,0.8158,4.27,81.58
09-Sep-21,506313,80.5,84.7,-0.0509,0.0077,0.0085,0.1624,0.85,16.24
09-Sep-21,506365,25.5,25,0.0198,0.0272,0.0272,0.5197,2.72,51.97
09-Sep-21,506405,332.7,329.85,0.0086,0.0355,0.0355,0.6782,3.55,67.82
09-Sep-21,506414,276.5,276.7,-0.0007,0.0324,0.0324,0.619,3.24,61.9
09-Sep-21,506520,6.17,6.25,-0.0129,0.0409,0.0408,0.7795,4.08,77.95
09-Sep-21,506522,1930,2018,-0.0446,0.0266,0.0267,0.5101,2.67,51.01
09-Sep-21,506528,762.85,770.6,-0.0101,0.0344,0.0344,0.6572,3.44,65.72
09-Sep-21,506530,925,925,0,0.0241,0.024,0.4585,2.4,45.85
09-Sep-21,506532,241.55,246.95,-0.0221,0.0351,0.035,0.6687,3.5,66.87
09-Sep-21,506543,3.46,3.3,0.0473,0.0286,0.0288,0.5502,2.88,55.02
09-Sep-21,506597,404.5,385.8,0.0473,0.0349,0.0349,0.6668,3.49,66.68
09-Sep-21,506605,516,520.7,-0.0091,0.0394,0.0393,0.7508,3.93,75.08
09-Sep-21,506640,147.25,147.25,0,0.0276,0.0275,0.5254,2.75,52.54
09-Sep-21,506642,35.45,35.25,0.0057,0.0399,0.0398,0.7604,3.98,76.04
09-Sep-21,506685,460.05,417.35,0.0974,0.0313,0.0319,0.6094,3.19,60.94
09-Sep-21,506687,2255.7,2324.05,-0.0299,0.0274,0.0274,0.5235,2.74,52.35
09-Sep-21,506734,104.3,106.05,-0.0166,0.0426,0.0425,0.812,4.25,81.2
09-Sep-21,506808,12.05,11.72,0.0278,0.0368,0.0367,0.7012,3.67,70.12
09-Sep-21,506852,117.05,117.8,-0.0064,0.0394,0.0393,0.7508,3.93,75.08
09-Sep-21,506854,601.4,572.8,0.0487,0.0447,0.0447,0.854,4.47,85.4
09-Sep-21,506858,47.8,46,0.0384,0.0315,0.0315,0.6018,3.15,60.18
09-Sep-21,506867,28.2,28.2,0,0,0,0,0,0
09-Sep-21,506879,437.05,436.25,0.0018,0.0369,0.0368,0.7031,3.68,70.31
09-Sep-21,506910,81.6,80.6,0.0123,0.0378,0.0378,0.7222,3.78,72.22
09-Sep-21,506919,204.95,208.9,-0.0191,0.0367,0.0367,0.7012,3.67,70.12
09-Sep-21,506935,210.9,200.9,0.0486,0.0292,0.0293,0.5598,2.93,55.98
09-Sep-21,506947,38,38,0,0.004,0.004,0.0764,0.4,7.64
09-Sep-21,506975,2.67,2.56,0.0421,0.0221,0.0223,0.426,2.23,42.6
09-Sep-21,506981,146,140.75,0.0366,0.0384,0.0384,0.7336,3.84,73.36
09-Sep-21,507155,59.35,58.05,0.0221,0.0286,0.0285,0.5445,2.85,54.45
09-Sep-21,507180,87.25,87.7,-0.0051,0.0495,0.0494,0.9438,4.94,94.38
09-Sep-21,507265,44,44,0,0.0462,0.0461,0.8807,4.61,88.07
09-Sep-21,507300,2152.5,2050,0.0488,0.0344,0.0345,0.6591,3.45,65.91
09-Sep-21,507435,70.05,70,0.0007,0.0299,0.0298,0.5693,2.98,56.93
09-Sep-21,507474,65.05,65.4,-0.0054,0.0398,0.0397,0.7585,3.97,75.85
09-Sep-21,507486,63.15,65.4,-0.035,0.0361,0.0361,0.6897,3.61,68.97
09-Sep-21,507498,12.83,12.33,0.0398,0.0411,0.0411,0.7852,4.11,78.52
09-Sep-21,507515,17.8,17.8,0,0.0361,0.036,0.6878,3.6,68.78
09-Sep-21,507525,777.65,798,-0.0258,0.0265,0.0265,0.5063,2.65,50.63
09-Sep-21,507552,66.9,68.6,-0.0251,0.0326,0.0326,0.6228,3.26,62.28
09-Sep-21,507598,72.35,70.7,0.0231,0.0384,0.0383,0.7317,3.83,73.17
09-Sep-21,507609,48.45,51,-0.0513,0.0143,0.0148,0.2828,1.48,28.28
09-Sep-21,507621,342.35,342.25,0.0003,0.0226,0.0225,0.4299,2.25,42.99
09-Sep-21,507645,12389.3,12228.95,0.013,0.031,0.031,0.5923,3.1,59.23
09-Sep-21,507690,72.85,73.95,-0.015,0.0367,0.0366,0.6992,3.66,69.92
09-Sep-21,507753,38.05,36.95,0.0293,0.0338,0.0337,0.6438,3.37,64.38
09-Sep-21,507759,23,23.75,-0.0321,0.035,0.035,0.6687,3.5,66.87
09-Sep-21,507808,6.45,6.45,0,0.0086,0.0085,0.1624,0.85,16.24
09-Sep-21,507813,71.2,72.6,-0.0195,0.0366,0.0365,0.6973,3.65,69.73
09-Sep-21,507817,64.15,65,-0.0132,0.0313,0.0312,0.5961,3.12,59.61
09-Sep-21,507836,581.35,560.9,0.0358,0.0337,0.0337,0.6438,3.37,64.38
09-Sep-21,507852,8.41,8.41,0,0.027,0.0269,0.5139,2.69,51.39
09-Sep-21,507864,32.9,32.8,0.003,0.034,0.0339,0.6477,3.39,64.77
09-Sep-21,507872,37.25,36.55,0.019,0.0349,0.0348,0.6649,3.48,66.49
09-Sep-21,507886,10.29,10.83,-0.0511,0.0119,0.0124,0.2369,1.24,23.69
09-Sep-21,507894,14.15,14.85,-0.0483,0.0185,0.0188,0.3592,1.88,35.92
09-Sep-21,507910,44.8,44.2,0.0135,0.0356,0.0356,0.6801,3.56,68.01
09-Sep-21,507912,123.15,119.95,0.0263,0.046,0.0459,0.8769,4.59,87.69
09-Sep-21,507917,15,15,0,0.0115,0.0115,0.2197,1.15,21.97
09-Sep-21,507938,5.8,5.8,0,0.0068,0.0068,0.1299,0.68,12.99
09-Sep-21,507944,999.7,996.4,0.0033,0.0419,0.0418,0.7986,4.18,79.86
09-Sep-21,507948,45.85,43.7,0.048,0.0317,0.0318,0.6075,3.18,60.75
09-Sep-21,507952,3.15,3.15,0,0,0,0,0,0
09-Sep-21,507960,165.4,153.45,0.075,0.0309,0.0312,0.5961,3.12,59.61
09-Sep-21,507962,7.6,7.6,0,0.0065,0.0065,0.1242,0.65,12.42
09-Sep-21,507966,27.85,26.7,0.0422,0.0291,0.0292,0.5579,2.92,55.79
09-Sep-21,507970,31.1,30.5,0.0195,0.0334,0.0333,0.6362,3.33,63.62
09-Sep-21,507981,31,31.25,-0.008,0.0361,0.036,0.6878,3.6,68.78
